iter	RMSE
1519	9924.967224
1520	9923.065177
1521	9920.813205
1522	9920.487408
1523	9918.778631
1524	9913.694958
1525	9912.526913
1526	9909.625103
1527	9906.830628
1528	9906.504901
1529	9900.020272
1530	9896.88943
1531	9896.239666
1532	9891.729531
1533	9888.215744
1534	9882.37439
1535	9878.368844
1536	9874.772932
1537	9874.389509
1538	9871.351282
1539	9869.594272
1540	9860.216828
1541	9855.864814
1542	9854.306636
1543	9852.104371
1544	9850.012996
1545	9846.566853
1546	9841.523113
1547	9837.002867
1548	9836.448419
1549	9831.693743
1550	9829.53463
1551	9825.98502
1552	9821.018695
1553	9820.450299
1554	9816.46201
1555	9809.518772
1556	9809.183143
1557	9807.570384
1558	9804.170576
1559	9803.851958
1560	9801.043539
1561	9798.49785
1562	9792.677887
1563	9787.621143
1564	9781.917868
1565	9778.459423
1566	9775.811338
1567	9775.49488
1568	9774.76006
1569	9771.678663
1570	9769.160301
1571	9763.943812
1572	9762.065547
1573	9756.099301
1574	9752.615652
1575	9751.677985
1576	9751.324065
1577	9749.310763
1578	9746.836243
1579	9738.375362
1580	9735.799624
1581	9733.386161
1582	9728.797341
1583	9727.105916
1584	9720.519848
1585	9715.321417
1586	9711.318027
1587	9706.941732
1588	9704.383798
1589	9702.007933
1590	9699.744236
1591	9695.756998
1592	9694.505892
1593	9689.35554
1594	9687.121805
1595	9682.441005
1596	9679.675519
1597	9676.137005
1598	9673.665267
1599	9670.069672
1600	9665.969125
1601	9663.205098
1602	9659.374144
1603	9655.564417
1604	9654.18858
1605	9652.889842
1606	9652.627572
1607	9649.341762
1608	9649.047403
1609	9645.025754
1610	9642.64807
1611	9637.337961
1612	9632.346497
1613	9630.982455
1614	9629.165401
1615	9627.900673
1616	9621.041256
1617	9615.871772
1618	9613.667385
1619	9610.434522
1620	9606.944745
1621	9602.829395
1622	9600.47912
1623	9598.319801
1624	9597.789313
1625	9591.674766
1626	9588.032213
1627	9582.018416
1628	9581.723064
1629	9577.010567
1630	9569.159718
1631	9566.845126
1632	9561.222436
1633	9556.567445
1634	9553.607179
1635	9547.661529
1636	9545.830553
1637	9542.630886
1638	9539.612801
1639	9534.857128
1640	9533.063779
1641	9532.637041
1642	9532.341788
1643	9531.965666
1644	9528.961188
1645	9524.593561
1646	9519.289324
1647	9517.26211
1648	9512.936968
1649	9510.553848
1650	9503.92788
1651	9499.971948
1652	9499.198759
1653	9494.220439
1654	9492.518406
1655	9490.286227
1656	9487.568488
1657	9487.284264
1658	9483.152745
1659	9481.014864
1660	9477.737952
1661	9475.394067
